symbol,asset_class,currency,venue,enabled,notes
SPY,ETF,USD,US,true,Toss API account mapping
VOO,ETF,USD,US,true,Toss API account mapping
IVV,ETF,USD,US,true,Toss API account mapping
SPYM,ETF,USD,US,true,Toss API account mapping
QQQ,ETF,USD,US,true,Toss API account mapping
SMH,ETF,USD,US,true,Toss API account mapping
SCHD,ETF,USD,US,true,Toss API account mapping
VTV,ETF,USD,US,true,Toss API account mapping
XLP,ETF,USD,US,true,Toss API account mapping
XLU,ETF,USD,US,true,Toss API account mapping
SGOV,ETF,USD,US,true,Toss API account mapping
BIL,ETF,USD,US,true,Toss API account mapping
SHV,ETF,USD,US,true,Toss API account mapping
TLT,ETF,USD,US,true,Toss API account mapping
GLD,ETF,USD,US,true,Toss API account mapping
